Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
ENGINEER,80280,6.01116E+15,Oct-32,802,0
DOCTOR,99885,3.54729E+15,Apr-26,35,0
ENGINEER,17880,6.7617E+11,Apr-34,305,1
DOCTOR,94660,4.57512E+18,Nov-29,3477,0
LAWYER,29859,2.13135E+14,Apr-27,263,0
DOCTOR,71884,4.43405E+15,Sep-34,854,0
DOCTOR,4073,3.76285E+14,Sep-30,773,0
ENGINEER,69030,3.46893E+14,Apr-30,498,0
ENGINEER,69043,3.50785E+15,Mar-30,389,0
DOCTOR,41667,6.01192E+15,May-26,8,0
ENGINEER,53144,4.89336E+15,Nov-28,221,1
DOCTOR,70651,6.01138E+15,Aug-28,634,0
ENGINEER,30427,4.34684E+18,Jun-29,214,0
ENGINEER,13168,4.27523E+12,Dec-32,159,1
LAWYER,26186,3.59381E+15,Jan-27,971,0
ENGINEER,84336,2.70345E+15,May-33,492,0
LAWYER,82799,4.66072E+18,Jan-29,545,1
ENGINEER,28670,4.57576E+15,Apr-31,57,1
LAWYER,33155,4.72685E+15,Apr-29,8930,0
DOCTOR,10306,3.75827E+14,Jul-33,818,1
LAWYER,1472,3.03826E+13,Sep-26,430,0
DOCTOR,54591,3.5172E+15,Dec-29,908,1
ENGINEER,45682,3.59118E+15,Jun-27,907,0
DOCTOR,59224,3.59957E+15,Jul-25,424,0
LAWYER,50793,4.03938E+15,Mar-33,894,0
ENGINEER,88193,1.80064E+14,Sep-34,520,1
ENGINEER,35837,3.54287E+15,Jan-32,42,0
ENGINEER,8830,4.01771E+12,Jan-33,585,1
DOCTOR,24130,3.57436E+15,Apr-31,312,1
LAWYER,13829,2.13175E+14,Oct-30,128,1
ENGINEER,414,4.77721E+12,May-33,761,0
LAWYER,42875,6.30405E+11,Oct-32,391,0
DOCTOR,35370,1.80002E+14,Jun-28,2108,0
ENGINEER,85465,6.59172E+15,May-34,179,1
ENGINEER,31742,3.483E+14,Oct-25,232,1
DOCTOR,38551,3.52295E+15,Oct-26,170,1
LAWYER,95796,4.90596E+15,Apr-33,500,0
ENGINEER,73154,5.33546E+15,Jan-34,499,1
DOCTOR,57640,5.76783E+11,Nov-30,328,0
ENGINEER,68569,4.16239E+18,Dec-33,461,1
DOCTOR,28063,5.77651E+11,May-31,968,0
LAWYER,66246,4.05736E+18,Aug-34,279,0
DOCTOR,71781,6.54274E+15,Aug-26,865,0
ENGINEER,21966,1.80026E+14,Aug-33,340,0
DOCTOR,22065,4.75559E+15,Nov-24,778,1
DOCTOR,8873,6.01104E+15,May-32,661,1
DOCTOR,79335,3.01813E+13,Oct-26,230,1
ENGINEER,10647,4.57298E+15,Dec-25,640,0
LAWYER,85154,2.13158E+14,Nov-31,617,1
ENGINEER,52829,4.70321E+12,Aug-32,108,0
ENGINEER,28898,6.39098E+11,Feb-34,985,0
DOCTOR,37928,4.72161E+18,Jul-26,556,1
DOCTOR,78699,2.13116E+14,Jan-31,583,0
DOCTOR,70660,5.18372E+15,Dec-30,944,1
DOCTOR,76408,4.6773E+12,Mar-31,452,0
ENGINEER,15341,3.52328E+15,Jul-32,418,1
LAWYER,79500,6.5008E+15,Dec-32,43,0
ENGINEER,20048,4.58693E+12,May-28,742,1
DOCTOR,83226,4.40895E+12,May-27,818,1
ENGINEER,29659,4.80167E+15,Feb-30,207,1
ENGINEER,40974,3.55239E+15,Oct-31,746,0
LAWYER,44407,5.61164E+11,Jul-27,978,0
LAWYER,25236,6.01182E+15,Jul-28,280,1
ENGINEER,52719,3.51355E+15,Jan-32,654,0
LAWYER,93886,2.13197E+14,Feb-26,378,1
LAWYER,73613,2.13143E+14,Dec-25,359,0
LAWYER,26016,1.80043E+14,Nov-32,507,0
ENGINEER,71846,4.92425E+15,Jan-34,575,0
LAWYER,26531,6.30467E+11,Sep-34,745,0
LAWYER,30900,4.13225E+15,Oct-29,285,1
ENGINEER,74873,4.23135E+18,Jan-27,291,0
DOCTOR,84031,3.57E+15,Dec-29,460,1
LAWYER,45524,4.4944E+15,Oct-25,739,0
DOCTOR,15273,6.57779E+15,May-25,121,1
ENGINEER,12194,3.59172E+15,May-26,293,0
LAWYER,71910,3.56913E+15,Jan-25,724,1
ENGINEER,98117,6.01179E+15,Nov-31,825,1
DOCTOR,48508,3.75774E+14,Sep-29,925,0
LAWYER,11817,4.82408E+18,Oct-25,9027,0
DOCTOR,3122,4.83696E+12,Jul-25,466,0
ENGINEER,44691,3.58495E+15,Sep-25,995,1
ENGINEER,64809,1.80019E+14,Sep-27,936,1
DOCTOR,22792,5.01824E+11,Jun-25,449,0
ENGINEER,36685,6.76311E+11,Oct-25,641,1
LAWYER,77019,4.21519E+15,Feb-27,713,0
ENGINEER,79236,3.77171E+14,Mar-28,577,0
ENGINEER,93753,4.97093E+15,Aug-26,775,0
DOCTOR,14717,2.70584E+15,Sep-34,108,1
LAWYER,30339,4.71482E+15,Feb-31,879,0
ENGINEER,69251,4.56663E+15,Feb-27,921,1
LAWYER,95783,3.50257E+15,Oct-30,3229,1
DOCTOR,59739,3.559E+15,Jul-31,930,1
LAWYER,6791,6.01101E+15,Jan-31,400,1
LAWYER,2280,4.98816E+15,Feb-25,741,0
ENGINEER,43371,3.56566E+15,Dec-29,263,0
ENGINEER,83604,6.55507E+15,Mar-27,474,1
LAWYER,14705,4.21232E+15,Oct-34,588,1
ENGINEER,96895,3.75016E+14,Oct-26,367,1
LAWYER,23533,6.30408E+11,Jan-28,130,0
LAWYER,31111,6.76148E+11,Jun-26,448,0
ENGINEER,85024,5.58481E+15,Aug-30,845,1
ENGINEER,13794,4.56196E+18,Dec-29,568,0
ENGINEER,40836,3.54076E+15,Jun-31,196,0
DOCTOR,92824,4.42298E+18,Jan-27,836,0
DOCTOR,15949,1.80092E+14,Oct-34,7877,0
LAWYER,52779,4.65091E+12,Mar-25,589,1
ENGINEER,33145,4.09398E+15,Jun-31,869,0
ENGINEER,6322,2.13192E+14,Oct-33,810,1
DOCTOR,8614,4.91311E+12,Mar-27,710,0
LAWYER,61827,4.58865E+15,May-29,287,1
DOCTOR,1054,2.22568E+15,Nov-32,475,1
ENGINEER,90387,5.4558E+15,Dec-24,515,0
DOCTOR,63342,6.76339E+11,Aug-25,88,1
ENGINEER,82475,5.02032E+11,Jun-28,246,1
LAWYER,1263,4.87179E+15,Feb-28,4674,1
LAWYER,64989,6.55496E+15,Dec-27,17,0
DOCTOR,54485,4.83886E+12,Dec-28,17,1
DOCTOR,68484,4.63539E+15,Feb-28,637,0
DOCTOR,45137,4.90191E+15,Aug-33,639,1
DOCTOR,7710,4.17776E+15,Jul-26,357,1
LAWYER,1362,4.59716E+15,Dec-24,72,1
LAWYER,16184,6.54811E+15,Mar-30,347,0
LAWYER,62174,4.74039E+15,Sep-30,862,1
DOCTOR,40610,3.54289E+15,Jun-32,281,0
LAWYER,28396,4.38918E+15,Apr-27,858,0
LAWYER,65509,4.25752E+15,May-25,776,1
DOCTOR,30788,6.76345E+11,May-34,790,0
LAWYER,85327,3.62005E+13,Jun-32,817,1
DOCTOR,84475,3.58378E+15,Jun-29,770,1
ENGINEER,87250,4.03342E+12,Mar-27,7266,1
ENGINEER,16936,3.70499E+14,Aug-28,221,0
ENGINEER,12358,4.74733E+15,Jan-26,337,1
ENGINEER,46127,2.13143E+14,Aug-34,71,1
ENGINEER,99433,4.72506E+15,Nov-29,866,1
LAWYER,73992,3.52276E+15,Sep-27,955,0
LAWYER,61014,3.50101E+15,Oct-25,470,1
LAWYER,52223,3.58685E+15,Dec-33,786,0
LAWYER,96899,6.01116E+15,Feb-32,716,1
LAWYER,84241,3.56138E+15,Nov-30,446,1
LAWYER,49908,3.51615E+15,Jan-32,420,0
LAWYER,15926,6.01198E+15,Jan-31,236,1
ENGINEER,79797,3.58195E+15,Aug-32,234,1
ENGINEER,45475,4.55691E+18,Aug-29,787,0
DOCTOR,49585,3.70287E+14,Sep-25,809,1
LAWYER,65642,1.8006E+14,Feb-31,692,1
DOCTOR,55636,4.7907E+18,Mar-25,9069,1
DOCTOR,87900,3.76348E+14,Aug-25,476,1
ENGINEER,54093,4.57113E+18,Dec-33,146,0
ENGINEER,60658,3.54296E+15,Dec-33,697,0
DOCTOR,8088,6.01129E+15,Jan-34,600,1
ENGINEER,39934,3.00396E+13,Dec-33,117,1
ENGINEER,61448,3.52844E+15,Oct-25,400,0
DOCTOR,18771,4.94075E+15,Aug-29,734,0
ENGINEER,21693,6.01127E+15,Dec-29,162,1
LAWYER,99152,4.91106E+12,Mar-28,640,0
DOCTOR,23973,4.15691E+15,Mar-32,300,1
ENGINEER,21925,6.01156E+15,Feb-28,425,0
DOCTOR,7288,3.566E+15,May-30,510,1
ENGINEER,80539,4.74344E+15,Aug-31,464,1
LAWYER,65502,5.5545E+15,Dec-24,736,0
DOCTOR,50643,2.13198E+14,Jul-32,817,1
DOCTOR,86015,5.42472E+15,Apr-29,632,1
LAWYER,75748,3.73869E+14,Mar-26,158,1
LAWYER,46502,3.5851E+15,Aug-33,846,1
DOCTOR,56086,3.59023E+15,Mar-34,939,0
DOCTOR,73843,2.28174E+15,Dec-25,476,1
ENGINEER,20261,3.51468E+15,Feb-26,570,0
ENGINEER,1857,2.13151E+14,Jul-29,632,1
LAWYER,565,2.13121E+14,May-27,750,0
DOCTOR,66386,4.39539E+18,May-32,452,1
DOCTOR,27077,5.48501E+15,Nov-29,191,1
LAWYER,34158,2.27218E+15,Jul-33,873,0
LAWYER,28447,1.80032E+14,Jan-30,779,1
LAWYER,85216,3.57529E+15,Feb-28,232,0
LAWYER,89825,2.23252E+15,Aug-33,877,1
DOCTOR,55428,3.67319E+13,Mar-25,300,1
LAWYER,29684,1.8009E+14,Nov-34,24,1
LAWYER,46538,4.51959E+15,Apr-28,517,1
ENGINEER,81260,4.95561E+12,Aug-27,541,0
LAWYER,7025,3.52635E+15,May-29,312,1
DOCTOR,79041,3.83566E+13,Sep-26,727,0
DOCTOR,29959,4.78685E+12,Jul-28,920,0
ENGINEER,96639,3.55236E+15,Jan-33,886,1
ENGINEER,78145,2.29613E+15,Jul-28,947,0
DOCTOR,30794,4.04644E+15,Feb-31,198,0
LAWYER,65765,4.28963E+18,May-26,250,0
LAWYER,92815,3.02149E+13,Dec-26,936,0
ENGINEER,7322,4.74472E+15,Mar-34,305,0
LAWYER,18455,6.30497E+11,Nov-29,200,0
DOCTOR,52338,4.01817E+12,Jun-29,847,0
ENGINEER,13339,2.13123E+14,Sep-32,668,0
LAWYER,87887,3.52225E+15,Dec-27,975,0
DOCTOR,61167,4.18198E+15,Jan-25,852,0
LAWYER,22960,3.67847E+13,Apr-30,976,1
LAWYER,86008,3.55707E+15,Oct-30,595,0
ENGINEER,36720,4.22286E+15,Apr-30,109,0
LAWYER,465,3.55798E+15,Feb-34,868,0
DOCTOR,18762,5.77708E+11,Mar-34,846,1
LAWYER,88401,3.03954E+13,Jun-30,269,1
ENGINEER,30592,3.55285E+15,Aug-30,178,0
ENGINEER,93416,3.7184E+14,Aug-29,506,1
DOCTOR,84122,4.90391E+15,Feb-31,101,0
LAWYER,51514,6.0111E+15,Jun-32,161,0
DOCTOR,98108,4.52625E+15,Jan-33,892,1
ENGINEER,10664,3.66688E+13,Feb-34,399,0
LAWYER,34226,5.88835E+11,Apr-29,349,0
ENGINEER,6394,4.90662E+15,Jan-34,809,1
ENGINEER,53987,4.03273E+18,Mar-27,965,0
ENGINEER,22580,6.53629E+15,Jan-30,145,1
LAWYER,39764,2.30558E+15,Mar-32,915,0
ENGINEER,64420,4.76992E+15,Nov-30,3853,0
DOCTOR,47336,6.01132E+15,Mar-26,682,0
ENGINEER,64661,5.52437E+15,Jan-26,799,0
DOCTOR,46009,4.3586E+15,Dec-29,281,0
ENGINEER,27640,3.04807E+13,Mar-34,887,0
DOCTOR,25467,4.91839E+12,Jun-28,984,0
DOCTOR,48256,4.16732E+15,Jan-26,385,1
ENGINEER,43554,3.53627E+15,Mar-34,8991,0
LAWYER,2039,3.5579E+15,Oct-29,650,0
LAWYER,80125,6.58393E+15,Nov-26,4242,0
DOCTOR,28492,6.55112E+15,Mar-25,859,1
DOCTOR,51200,3.55364E+15,Sep-26,314,0
LAWYER,83737,4.55741E+18,Feb-29,377,1
DOCTOR,58609,4.57202E+15,May-34,865,0
DOCTOR,83152,4.54843E+15,Apr-29,333,1
DOCTOR,33926,3.04078E+13,Oct-28,941,0
DOCTOR,1693,1.80063E+14,May-29,497,0
LAWYER,89165,6.57646E+15,Jul-27,529,0
ENGINEER,52757,3.53292E+15,Feb-33,300,1
LAWYER,43525,3.57585E+15,Mar-34,4205,1
ENGINEER,71620,6.76331E+11,Mar-27,303,0
DOCTOR,74381,5.69478E+11,Mar-26,919,1
DOCTOR,13577,3.0285E+13,Dec-24,8661,1
ENGINEER,69555,4.45773E+15,Jun-29,625,0
LAWYER,78690,2.13102E+14,Sep-31,702,1
LAWYER,93293,4.33464E+15,Oct-25,360,1
LAWYER,67931,4.88163E+12,Jul-32,558,0
DOCTOR,90573,3.54375E+15,Oct-27,155,1
LAWYER,36472,4.54641E+12,Nov-25,361,0
ENGINEER,72411,6.53059E+15,May-31,226,1
LAWYER,32552,2.71374E+15,Mar-26,405,1
DOCTOR,99449,5.72618E+11,Jul-29,424,1
DOCTOR,71398,3.01326E+13,Nov-29,373,1
DOCTOR,7728,5.54009E+15,Aug-27,52,0
LAWYER,10297,4.95171E+18,Aug-29,268,1
ENGINEER,80834,4.96631E+12,Apr-28,679,1
DOCTOR,12837,3.51503E+15,Jun-32,777,0
DOCTOR,10706,4.57923E+15,Jun-32,411,0
ENGINEER,62720,4.70309E+18,Jan-30,198,0
ENGINEER,73073,2.27106E+15,Apr-32,777,1
ENGINEER,30137,2.13145E+14,Jun-30,46,1
DOCTOR,19948,6.30406E+11,May-29,6545,1
ENGINEER,92292,3.59088E+15,Nov-33,904,1
DOCTOR,36674,4.53176E+12,Feb-31,164,0
DOCTOR,13791,6.01137E+15,Jul-31,99,0
ENGINEER,2997,60416515330,Dec-32,599,0
LAWYER,89580,3.45317E+14,Sep-27,2198,0
ENGINEER,10757,4.89605E+18,Mar-26,877,0
ENGINEER,49889,3.05122E+13,Jan-28,47,1
DOCTOR,75910,4.41066E+18,Feb-28,908,0
DOCTOR,87670,5.02016E+11,Nov-28,40,1
LAWYER,97999,4.77896E+12,Jun-29,886,0
DOCTOR,36962,4.01912E+15,Mar-25,94,0
LAWYER,39147,3.50669E+15,Aug-34,385,1
ENGINEER,79229,5.03884E+11,Dec-28,831,0
DOCTOR,32082,6.76283E+11,Apr-29,352,1
ENGINEER,95944,1.80051E+14,Jan-29,636,1
LAWYER,6552,3.81303E+13,Nov-27,489,0
LAWYER,11904,6.01154E+15,Mar-33,285,1
ENGINEER,50990,3.05959E+13,Apr-31,38,0
DOCTOR,18385,2.2542E+15,Feb-28,336,1
DOCTOR,82401,4.06603E+18,Mar-28,8,1
LAWYER,76422,4.79342E+15,Apr-29,741,1
LAWYER,7811,4.53186E+15,Aug-30,804,0
DOCTOR,6019,2.71212E+15,May-26,655,0
DOCTOR,32927,6.58061E+15,Nov-25,576,0
ENGINEER,808,2.29816E+15,May-34,43,1
ENGINEER,25254,4.30695E+12,May-32,2971,1
LAWYER,39287,4.07677E+15,Jan-26,844,0
LAWYER,21358,3.56085E+15,Apr-32,309,1
DOCTOR,41848,3.53018E+15,Apr-34,511,1
LAWYER,53656,3.57592E+15,Dec-33,848,1
LAWYER,68269,4.37646E+18,May-30,495,1
ENGINEER,80193,2.13117E+14,Jun-25,525,1
DOCTOR,40432,4.06822E+15,Apr-27,592,0
LAWYER,50306,3.44409E+14,Aug-29,688,1
ENGINEER,49742,4.44476E+15,Apr-31,7556,0
LAWYER,65784,3.55764E+15,Sep-27,970,1
ENGINEER,97589,3.49476E+14,Oct-30,471,0
DOCTOR,45622,3.58943E+15,Aug-25,870,0
ENGINEER,56251,4.56702E+15,Dec-30,916,0
LAWYER,22018,3.0591E+13,May-32,514,0
LAWYER,47565,3.73344E+14,Sep-28,263,1
ENGINEER,60235,6.30469E+11,Sep-27,446,0
DOCTOR,43920,6.39016E+11,Jul-25,309,1
ENGINEER,83247,2.25129E+15,Feb-32,128,0
ENGINEER,22433,3.50495E+15,Nov-31,442,0
DOCTOR,23454,6.76351E+11,Nov-33,145,0
ENGINEER,66280,5.55105E+15,Oct-34,633,0
LAWYER,96000,4.54732E+15,Dec-25,875,1
DOCTOR,28146,3.56971E+15,Oct-27,410,1
LAWYER,74077,3.5459E+15,Feb-32,877,0
LAWYER,33551,4.26987E+18,Aug-25,984,0
ENGINEER,35333,6.76187E+11,Apr-26,989,0
